"id","url","publication_title","description","status","g_status","title","status_writer"
27292,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001097/18470817/011/0002","South Eastern Gazette","... Bouvcrie. Election Riot. Man Killed by the Police On Saturday an adjourned inquest was held Sleaford, before Mr. G. Kewney, coroner, on the body of Wm. Dyson. It appeared from the evidence, which was exceedingly voluminous, that the election of Lord Burghley ...",1,"2","ROCHESTER AND CHATHAM RACES","xgboost_description"
27376,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000359/18470812/036/0003","Wiltshire Independent","... ELECTION INTELLIGENCE. Western Division of Gloucestershire. The nomination for this division of the county of Gloucester took place Dnrsley, yesterday week. Mr. Aaron Goold, of Dean forest, proposed Hon. Grantley Berkeley ; the motion was seconded by ...",1,"7","ELECTION INTELLIGENCE","xgboost_description"
27384,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000183/18470813/012/0002","London Evening Standard","... least 20 per cent. This diminution cannot be explained by the season of the year, for the general election of 1837, like the present gene- ral election, was held in the summer recess. There is but one solution of the seeming paradox, namely, that one ...",1,"7","The conclusion of the election for the metro- politan county deserves a special notice, not only in ..","xgboost_description"
27395,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000156/18470811/031/0004","Bury and Norwich Post","... GENERAL ELECTION. EAST BUPFOLK ELECTION. The election of Member, to repreaeat the Dirwon East Suffolk in the next Pirliiment, took place Ipewieh Thursday ait. The frien.li and upporten Lord and Edward Sherlock Eeq., met them at the Heatone the Woodbridge ...",1,"2","GENERAL ELECTION","xgboost_description"
27413,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001300/18470731/065/0005","Liverpool Mail","... electors. There being no other candidate proposed, the mayor declared Mr. Wilson duly elected. MANCHESTER ELECTION. On Thursday morning the nomination and election for Manchester took place. The hustings were erected in St. Annes-square, capable of holding ...",1,"2","ELECTION PROCEEDINGS","xgboost_description"
27415,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000874/18470807/013/0003","Weekly Vindicator","... IRISH ELECTIONS. Coleraixe The tenant-right candidate. Dr. Royd. has been returned by a majority of 56, Sir Hervey Bruce having withdrawn from the contest. Uowspatrick. On Wednesday, Richard Ker, Esqbeing proposed by John Hastings, Esq., and seconded ...",1,"7","IRISH ELECTIONS","xgboost_description"
27420,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001955/18470803/031/0004","Wilts and Gloucestershire Standard","... declared the election to have fallen open Mr. Ninth and Sir. Brown. A poll less demanded for Lord L,Frollt., at the eneetkg harwg passed a rote of thaLks tk, the lkla,,or, l.rdse Lord Laseelli has redgeedad tie Lib ;al randi.lol,, arc thereby elected. This ...",1,"7","CIIIPPENIIAII ELECTION.7WEDNEsper,","xgboost_description"
27424,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0002214/18470802/056/0004","Cheltenham Journal and Gloucestershire Fashionable Weekly Gazette","... that I threw out the bill that would throw into the hands of the rate-payers the power of electing the commissioners. But how did It propose to throw the election of the col:minim:ors into the hands of the rate-payers? Why, every men was not to have a ...",1,"7","CHELTENHAM BOROUGH ELECTION","xgboost_description"
27431,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000237/18470806/022/0004","Stamford Mercury","... through the election, and the Reformers have only valued their own rights more than him: they have only asserted tbat they would not tricked by degrading union. He therefore not been punished by them, but the persons who placed bis election upon chances ...",1,"7","Lincoln City Election. The numbers declared by Sheriff at o'clock on Thursday afternoon were, for Col. ..","xgboost_description"
27444,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000183/18470802/033/0003","London Evening Standard","... interest would receive from him, it elected, his assistance for the furtherance of its just object. The Mayor, after some hesitation on the first show of hands, put the question a second time, and declared Mr. Mac Gregor elected. A poll was demanded on behalf ...",1,"7","GENERAL ELECTION","xgboost_description"
27474,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000230/18470807/009/0002","Hampshire Chronicle","... loads of stones, which were discharged under the outside private mark. bUfe.Aorry TtUgraph. GENERAL ELECTION RETURNS. 00 Oxford University.This election terminated on fiernoon, after precede Died coni e*. and lar*er nuuibt r the member# havine l>oHed ...",1,"2","LONDON GAZETTE OF TUESDAY","xgboost_description"
27486,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001652/18470805/008/0002","Globe","... withdrawn from the contest. Liverpool Election. We find that it was not Mr. Todd Naylor, but Mr. R. C. Naylor, who proposed Lord John Manners, at the nomination on the 28th of July. Errors to Knaresrorouoh Election ik the Daily Tapi rs. We have been requested ...",1,"7","THE GLOBE, THURSDAY, AUGUST 5, 1847","xgboost_description"
27492,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000206/18470814/011/0003","Manchester Courier and Lancashire General Advertiser","... it. Scotch Gazette. The Bank and thi Elections.lt was certainly very kind of the Bank, and kinder still of the market which allowed the Bank, to defer its startling rise in the rate of discount till the elections were pretty well decided. Had the Bank ...",1,"7","General Intelligence","xgboost_description"
27499,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000183/18470810/021/0003","London Evening Standard","... MR. COWAN'S INELIGIBILITY TO SIT IN PARLIAMENT. A question of great importance has arisen with regard to the election of Mr. Charles Cowan, which is now the subject of much discussion. It is stated that the hon. member holds, as a partner of the Messrs ...",1,"7","MR. COWAN'S INELIGIBILITY TO SIT IN.PARLIAMENT","xgboost_description"
27507,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000065/18470813/017/0005","Hull Packet","... Item,-Gratusity to nailer for holding s. horse wislel being elected member ndfor Grimsby. 0 0 2 se.r ne Total cost of a seat in Parliament .. 1 2 Mo-fm.-Not to give anything Loto ?? next election. ?? understand the workmen at the Grimsby New Dock have on ...",1,"7","LOCAL & GENERAL NEWS","xgboost_description"
27520,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000488/18470814/026/0004","Lancaster Gazette","... can impose an effective check, it has been suggested this morning that Par- liament should be assembled as soon as the elections are concluded, in order that the whole subject should be reconsidered not with a view to impose any per- manent impediment ...",1,"7","GENERAL INTELLIGENCE","xgboost_description"
27600,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001652/18470820/017/0003","Globe","... 96  814 - 473  261  159  893 - 294  41  399 - 200  11l  63  374 I THE GENERAL ELECTION. WEST SOMERSET ELECTION. Tauxto*. Thursday.--This day, about noon,tte High Sheriff made his retun, and a&nonnoed; the final doU bo as ...",1,"7","THIS JAMAICA MARKETS","xgboost_description"
27609,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000083/18470731/012/0005","Manchester Times","... the opportunity a temporary lull in the excitement of this day's election proceedings, to send you this tirst part of my despatch. The concurrence of the London and Westminster elections one and the same day, has brought into the field the whole political ...",1,"7","Local Intelligence","xgboost_description"
27616,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001652/18470803/014/0002","Globe","... E.The election of two members of Parliament for the Northern division of this county announced take place at Coleshill on the 10th inst.; and the election for two members for the Southern division at Warwick on the following day. The election for two ...",1,"7","THE GLOBE, TUESDAY, AUGUST 8, 1847","xgboost_description"
27619,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000612/18470820/016/0002","Durham County Advertiser","... General. In such case new election for this city would necessary. .Mr. Wawn, the member for South Shields, will walk into the House of Commons without paying single farthing for his return ; his constituents having borne all his election expeuces, and preseuted ...",1,"7","FRANCE","xgboost_description"
27680,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001316/18470816/004/0001","Evening Mail","... erent, year Mato b*  »a. The panic about diteaae in the tkiiiuj l *' ' ** end, and certainly the plant never THE GENERAL ELECTION. DDMBABTONSHIRE. Acoon 12. b eonmimicatloa of Hitsrdar I staM that then a'nwMnl STpeetaMa that Mr. ItoborUoa wools not persist ...",1,"7","EAWR or XSO LAND","xgboost_description"
27693,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001272/18470821/021/0002","Monmouthshire Beacon","... members of this county. These were a sort of wind up to the agitation which had preceded. The excitement of the contested election, which has for the last few weeks agitated this town, in common with others throughout the country, has now subsided ; and ...",1,"7","iiocal JhitcUignuc","xgboost_description"
27720,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000874/18470807/011/0003","Weekly Vindicator","... other provinces, where it will form an accompaniment to the heart-thrilling words Ireland fur the IrishRepeal, BELFAST ELECTION-NOMINATION OF CANDIDATES. Twelve oclock, on Thursday, being the hour ap. pointed for the nomination ol candidates for this ...",1,"7","perfectly instructed in the nature of their claims on the soil of their native land. Thanks to the immortal ..","xgboost_description"
27727,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001279/18470813/044/0003","Hull Advertiser and Exchange Gazette","... plaintiff failing bis proof, a verdict passed forfdefendant. A Dead Mans Vote. -One remarkable feature of the late stirring election for the representation of the . University is, that (fuondam voter, whose letter had been , returned the committee, and who ...",1,"2","A correspondent of the Agricultural Gazette «ay*. that common road-duct. «prink led the turnip plant, is euro ..","xgboost_description"
27776,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000369/18470828/065/0004","Reading Mercury","... surrcuder. ridiculed the idea of being placed in the election return as a feather in the cap of Whiggery. The present constitution of the House of Commons was such as to cause no doubt but that another election would shortly take place. Then the Whigs would ...",1,"7","MISCELLANEOUS. Death Gbnbral Sir G. Cockburn. The death of this veteran officer and politician took place at ..","xgboost_description"
27931,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000361/18470828/020/0004","Salisbury and Winchester Journal","... with sufficient prompt-1 ness during the election proceedings here. The majority of the inhabitants are not favourable to this force, and justly complain of the want of protection during those , days of rioting. They would have felt more satisfied if an ...",1,"7","Winchester","xgboost_description"
27937,"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000051/18470731/021/0004","London Daily News","... were delayed by a press of business at Exeter, and their lordships did not arrive in this town until after the close of the election, when the excitement which had prevailed throughout the day was beirinning to subside. The business of the assize is likely ...",1,"7","ASSIZE INTELLIGENCE","xgboost_description"
