"url","description"
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000251/18470821/103/0008","... the Carmartbenshiro raol has boo* committed for trial, charge of having aided a   named Evans, who was accused of horse stealing, to make his escape from that  . MDRDKE OF lUWXA*. mtk, u John Bnott, the locksmen (J«ck Ketch) of the city of ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000051/18470825/007/0003","... constable's staff by George ' Sbarpe, a superintendent of police, at the Tecent   for the southern division of Lincolnshire. It may be remembered that immediately after the  , there being no opposition, dinner was given at the public rooms in the ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001100/18470806/056/0005","... Times.) Violent rioting after the election on Friday disturbed the quiet of this generally respectable town. The Tory or Blue  , as they delight to be called, being unable by numbers to carry their man, determined, if possible, by brute lorce, to prevent ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000352/18470814/007/0001","... SCENES AT THE IRISH  . YOUGHAL. The nomination for thto borough took place Thursday.  Or. Oo»i.Rol Roe proposed honourable Charles Ponsonby aa a flt and proper person to represent tho boronrh of (cheers.) « Mr. Kobkxt Hcmow seconded aoninatkm ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000230/18470807/009/0002","... two subsequent years 49.41 U . thus showing difference the two years of 6723 committals. Dmorackh l Prockedincs. Violent   after the flection Friday disturbed the quiet town of Taunton. The Tory, or Blue party, they delight railed, being unable ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001316/18470827/039/0008","... of Police in Ireland ; or one of 20/. to Henet Williams, who was wounded in maintaining the public peace during the Newport   These and many others we might enumerate were well deserve!, we only regret they have not been charged to another fund. So ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001652/18470826/013/0003","... and freeholders going to the pell were continually forced away the men armed with bludgeons, in sight of the Sheriff, the  , and their oMcers ; and many were marked with raddle on their backs after voting, and beaten by the mob on leaving the booths ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001652/18470805/008/0002","... so much depend. Manchester Examiner. Disgraceful Proceedings in Taunton. Violent rioting after the election on Friday   the quiet of this generally respectable town. The Tory, or Blue party, as they delight to be called, being unable numbers ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001653/18470806/054/0006","... Tam worth. The election was accomplished on Wednesday sennight, there being no   in oDoosition to Sir Uobort Teel and his brother, William Yates Peel.   and constituents met in the Town-hall. The two gentlemen having been proposed and ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000843/18470804/008/0002","... NOTTINGHAM. Nottisoham, Friday. The sudden and unexpected result of ibis   has created the utmost astonishmont in the minds of all classes and of all parties. The town, after the close of the poll, was scene of the most excited and extraordinary ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000187/18470805/017/0003","... riotous  , and windows were brok-en. The Mayor said that though the ordinary police were withdrawn, there were supernumeraries put on in their places. TI ley were withdrawn by his orders, in consequence of there seeming to a disposition in the   to congregate ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000336/18470821/018/0005","... brought before the borough magistrates, on Monday, charged with drunkenness, disorderly and riotous conduct, and assaulting tbe   on Sunday night. He was fined 10s. and costs, or 14 days' imprisonment, Dreadful Occurrence at Ashton-uxdlr-Ltne. â€”On Sunday ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001083/18470820/013/0001","... Shakspeares house, that the auctioneers catalogues are already selling half-a-crown each. A man was killed, during an election   in North Lincolnshire, by a blow from a policemans staff. The jury have found verdict of excusable homicide. Outrageous Assault ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000076/18470731/029/0008","... b a t G e. . on- t . W. HARRISON, Esq., made saom excellent observations s on the conduct of the supporters of the other  , 6end Tr E hiried a bludgeon which had beau taken'frem a n br 'do of Thire men, nearly 10C , WhO ad eramblsls. drd the s4reetoa' ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000174/18470802/005/0003","... does not seem, so far as we can gather, to have been any urgent necessity for the adoption of either step. An active body of  , aided by special constables, (of wbich a large body was enrolled), would, in all proba- j bility, have been able speedily ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000193/18470828/101/0005","... Almondbnrr. the property of James North.Six calendar David Brooksbank, keeping a disorderly boose at Bradford Three months. THK   AT POOL FSAST. Jeremiah Thorp (3j), Richard Valentine (32), George Smith (26), and William. Walker (26), riotously wniiitiling ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000230/18470807/009/0002","... showing difference the two years of 6723 committals. Dmorackh l Prockedincs. Violent rioting after the flection Friday   the quiet town of Taunton. The Tory, or Blue party, they delight railed, being unable numbers to carry their man. determined ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000065/18470813/017/0005","... case for three mentics. It then addressed to the Minister of Justice a report of the conduct of tle examining ?? P- ALARMING   NEAR O'rLEY.-i'ool feast, whtinh Cite cemmenced on Monday, was this year signalised by a disturb. oie nce of a ratleer alarming ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000206/18470814/011/0003","... abject destitution.'' Alarming Riot near Otley.Pool feast, which commenced on Monday week, was this year signalised by a   of a rather alarming character. The neighbourhood, it appears, is inundated with the  navvies employed on the Leeds and ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000298/18470731/003/0002","... that, had it not been for the entreaties of the Candidates and their supporters, the Tory tools would have met with some   treatment in return. Fortunately, the night passed over without any serious disturbance; but this morning feared the peace ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000350/18470811/027/0005","... and  -constable Taylor took the prisoners into custody. Fined ss. each and costs. Assault.Dudley Pearson was charged by David Skelding with assaulting complainant, boy. Fined ss. and costs. Highways.Eight persons were charged by the   with ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001100/18470806/056/0005","... returns of last quarter. Disgraceful Proceedings Taunton. (From The Times.) Violent rioting after the election on Friday   the quiet of this generally respectable town. The Tory or Blue party, as they delight to be called, being unable by numbers ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001372/18470817/031/0004","... farthing. The verdict was received with applause. Murder An inquest was commenced the connty Infirmary, Thursday evening, and   the fol owing day, at the City Court-house, Thomas Izod, Esq., coroner, on the body of a man named Michael Brennan, who died ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001316/18470809/030/0005","... moraieg, however, the partisans of all the   mustered more strongly. The railway trains brought in .Treat number* from Leeds and Manchester, far the larger part being supporters cf the Liberal  . About *0 o'clock the space in front of the ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000408/18470729/034/0003","... Bristol, Joseph amith, Kendal, WetiaiurtUnd, commiss-.on.ageot. iltyoitcr. UOKSKTSHIitK It is important to know that county   cannot take pUce earlier lliau the lOih. nor later lima the day from the time of proclamation, wnich u-.t he niatle within ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000989/18470821/019/0002","... two pews in the Chapel, and had made himself very prominent tue affair. was asked Thompson if he headed the mob the day of  . The old Puritan said in quaint accent, No, I was in tile tayle. Another witness, the course of examination, went into a ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000446/18470824/001/0002","... Somerset, and Sir Colin Halkett, are eon to receive the Grand Cross of the Bath »Ti»»w. Thk or Appocmiitxis.Mr Macgregor's   lor filangow, and his consequent retirement fr.om the Hoard of 'I has caused a vacancy, which, we are sav, has beeu filled ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000354/18470813/006/0002","... Alarming   near Otley.Pool feast, which commenced on Monday last, was this year signalised by a disturbance of a rather alarming character. The neighbourhood, it appears, is inundated with the navvies employed on the Leeds and Thirsk Railway, now ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001635/18470803/061/0004","... J Brxwaia. proposed, and .Mr II -Sir it Peel one of the   for th«* borough. Major Bt proposed, and Mr E. Farmer seconded, the noraiiation of the Right Hon. W. Yates Peel. The two   tc« then addressed the assemble, and wen declared «uly elected ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000998/18470817/030/0004","... Court Leinster Express. A Novel Application. At recent fitting of the Cheltenham police-court, an application was made the   put down fashion which, it was said, had become a positive nuisancenamely, the unnecessary length of ladies dresses. As ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000358/18470814/023/0003","... witnesses were examined for the plaintiff, who clearly proved a most gross assault Sir W. Clayton's mob fa week previous to the  ) who knocked him down, and heat and kicked him in most disgraceful manner, causing besides such serious injury a fracture ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001316/18470827/039/0008","... per annum ; or one of 60/. to the family of Jambs Gibbons, who lost his life in the discharge of his duty Chief Constable of   in Ireland ; or one of 20/. to Henet Williams, who was wounded in maintaining the public peace during the Newport riots These ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000393/18470814/007/0001","... their hand*, because they did not (cheers.) 1 was obliged to retreat before men carrying loaded bludgeons, one of which the   got hold of. and it weighed five pounds (cries shame.'*) These fellows, the gallant Foresters encountered with their fists ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000206/18470807/023/0006","... months ago, a   from the country landed about six hundred sacks of flour in Newport, which were stored up in the Cattle Market. The price obtainable since that period was at one time about 80s. per sack, which was refused, as the   wanted from 84s ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000812/18470731/044/0004","... the other   was aiding and abetting. There was another count alleging the murder to have been committed by a person unknown, and that the .  were aiding and assisting. Some discussion arose with respect to giving the   In charge ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001421/18470730/048/0007","... one of the Members for Edini mrg evidently brightening. fourth  'fian appeared in the person of Peter Blackburn, Esq., on Conservative principles. Witness. Llgin Busghs The   are, Sir Andrew Leith nay, the old member, and Mr. G. S. Duff ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000950/18470817/067/0004","... papers in the proper jar, the Hd which he invariably lilted for that purpose, and did not leave it to be performed one of the  , was frequently the case on Friday. It is pretty well known in Whitehaven, however, that this hired servant of the Trust ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000354/18470813/025/0005","... Banks' eh. h. Grand 2 Six others started. Nottingham  . On Wednesday night last, a public dinner was given to Mr. Walter his constituents, to celebrate his triumphant return at the recent   for this borough. The entertainment, at which about ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000265/18470814/017/0005","... Mr. Hume has been returned for Montrose a majority of 301 over Mr. Greenhill, who was brought forward by the Free Church  , but the voters refused to follow the example ol Edinburgh. .  . Sir George Grey has beaten the nominees of the Duke of ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000151/18470811/033/0002","... merchant of Westminster, is in custody on of having appropriated bis uoj s which had been loet by a Church, and which the   picked up. A New York |>aper asserts that several persons bars become idiots by habitually using hair dye. which has penetrated ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000494/18470731/024/0005","... transaction by some friend of the prisoner's, who is very respectably connected. Hn was committed to take his trial at the next   Sessions at Newport. Bail was afterwards accepted for tbe prisoner, his father in 1501, Win. Butt, esq. 75f,and his uncle ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001316/18470806/017/0004","... now due, and the future instalments they hall become due. Disgraceful Proceedings Taunton. (brom a correepondent.lViolent   after the election on Friday disturbed the quiet of thi* generally respectable town. The Tory or Blue party, they delight ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001652/18470821/022/0004","... named William Newson was charged before Mr. Yardley, the   at the Thames Police Court, on Thursdav, with having caused the death of the deceased, and after hearing evidence the   remanded him on bail until Monday. It appeared from the ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001427/18470811/021/0003","... hands in favour of Mr. Anstey. and poll was then demanded behalf of the lion. Mr, Ponsonby. The electors then dispersed, both   cheering their candidates. CLOSE OF THE POLL ON SATURDAY. Anstey 110 Ponsonby ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000073/18470828/011/0003","... not the ease with the genuine ones. MNessrs. Wragge and Rudford w have offered a reward of 1001. for the detection of the   P concerned in the above forgery. 21 FAmS9.-Menday next, Newport Pagnsll.-Tieedisy, Dedding- at ton, Shsipston-on-Stour. ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000369/18470828/046/0004","... the charge against him, but Mr. Hammill thought there was sufficient evidence for his remand until Monday, when hoped the   who had pointed out the prisoner as the individual who had been the cause so inuch mischief would be discovered. MANSION-HOUSE ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000150/18470805/069/0003","... triumph; their intern* lion was, however, unfortunately frustrated, as he did net pass through the town on bis return. The   for West Worcestershire takes place tomorrow', and that for the Eastern Division on Saturday. It will seen from Captain Kushovts ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001286/18470814/076/0006","... ALARMING RIOT NEAR OTLET. Pool fesst, which commenced on Monday, was this year signalised by a   of rather alarming character. The neighbourhood, appears, is inundated with the navvies* employed on the Leeds and Tbirsk Railway, now in the coarse ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0001652/18470803/026/0003","... three months ago,   from the up countrylanded about si* hundred sacks of Boar in Newport, which were stored up the Cettle Market. The price obtainable since that period was at one time about 80s. per sack, which was refused, as the   wanted from 84s ..."
"https://www.britishnewspaperarchive.co.uk/viewer/download/bl/0000359/18470812/038/0004","...   FOR SOUTH WILTS. Tbia   took place on Thursday last. About eleven o'clock tl.e Hon. Sidney Herbert arrived the Market place from Wilton Abbey, attended a numerous party of horsemen, and shortly afterwards both the candidates appeared upon ..."
